,customer_number,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index
75,100075,716,9,12.4,148.8,77700.0,0.0,2,2,0,0,0.402
76,100076,754,10,8.1,97.2,97400.0,0.0,1,1,1,0,0.384
77,100077,647,12,5.4,64.8,95400.0,0.0,1,1,0,0,0.243
78,100078,796,12,2.7,32.4,82500.0,0.0,2,2,0,0,0.283
79,100079,741,12,12.5,150.0,229300.0,0.0,4,4,0,0,0.443
80,100080,691,18,6.7,80.4,41700.0,0.0,1,1,0,0,0.491
81,100081,602,11,6.0,72.0,62900.0,0.0,4,4,0,0,0.258
82,100082,820,12,10.7,128.4,123800.0,0.0,3,3,0,0,0.419
83,100083,719,13,11.0,132.0,40600.0,0.0,1,1,0,0,0.287
84,100084,727,18,15.3,183.6,65200.0,0.0,2,2,0,1,0.426
85,100085,776,6,7.0,84.0,61500.0,0.0,1,1,0,0,0.318
86,100086,734,8,5.0,60.0,89500.0,0.0,1,1,0,0,0.242
87,100087,602,9,9.9,118.8,25200.0,0.0,2,2,0,0,0.37
88,100088,748,7,18.5,222.0,72700.0,0.0,2,2,0,0,0.435
89,100089,739,14,10.1,121.2,107400.0,0.0,0,0,0,0,0.304
90,100090,698,19,10.6,127.2,44500.0,0.0,1,1,0,0,0.363
91,100091,785,10,21.1,253.2,107100.0,0.0,0,0,0,0,0.458
92,100092,784,24,7.0,84.0,92700.0,0.0,2,2,0,0,0.427
93,100093,756,3,13.8,165.6,110500.0,,1,1,0,0,0.33
94,100094,679,12,6.7,80.4,115600.0,0.0,4,4,0,0,0.262
95,100095,737,14,5.2,62.4,69900.0,0.0,2,2,0,0,0.284
96,100096,704,6,0.7,8.4,39200.0,0.0,0,0,0,0,0.141
97,100097,725,5,12.6,151.2,65500.0,0.0,3,3,0,0,0.282
98,100098,736,3,15.3,183.6,52900.0,0.0,2,2,0,0,0.349
99,100099,634,17,9.3,111.6,50400.0,0.0,1,1,0,0,0.419
100,100100,642,7,4.0,48.0,64100.0,0.0,5,5,0,0,0.229
101,100101,691,10,8.9,106.8,132400.0,0.0,0,0,0,0,0.304
102,100102,728,8,7.3,87.6,69300.0,0.0,2,2,0,0,0.226
103,100103,713,18,7.0,84.0,59300.0,0.0,1,1,0,0,0.438
104,100104,692,13,9.6,115.2,178500.0,0.0,2,2,0,0,0.314
105,100105,676,14,12.0,144.0,193600.0,0.0,1,1,0,0,0.381
106,100106,799,7,2.5,30.0,307100.0,0.0,0,0,0,0,0.14
107,100107,758,14,16.7,200.4,66900.0,0.0,4,4,0,0,0.386
108,100108,784,8,7.0,84.0,99700.0,0.0,4,4,0,0,0.262
109,100109,710,7,5.3,63.6,140200.0,0.0,2,2,0,0,0.159
110,100110,762,17,13.6,163.2,61900.0,0.0,2,2,0,0,0.358
111,100111,703,12,11.1,133.2,163900.0,0.0,4,4,0,0,0.28
112,100112,691,13,14.0,168.0,110200.0,0.0,5,5,0,0,0.358
113,100113,779,4,6.2,74.4,20900.0,0.0,1,1,0,0,0.306
114,100114,664,6,2.1,25.2,32700.0,0.0,0,0,1,0,0.171
115,100115,788,8,7.7,92.4,254200.0,0.0,1,1,0,0,0.23
116,100116,750,5,11.8,141.6,43600.0,0.0,2,2,0,0,0.213
117,100117,670,7,16.5,198.0,24900.0,0.0,0,0,0,0,0.386
118,100118,665,11,4.2,50.4,37100.0,0.0,0,0,0,0,0.323
119,100119,685,7,4.8,57.6,57300.0,0.0,2,2,0,0,0.221
120,100120,747,14,10.7,128.4,102600.0,0.0,1,1,0,1,0.452
121,100121,684,13,1.6,19.2,193000.0,0.0,0,0,0,0,0.352
122,100122,749,7,15.1,181.2,66100.0,0.0,1,1,0,0,0.339
123,100123,679,13,23.7,284.4,56500.0,0.0,1,1,0,0,0.543
124,100124,775,13,20.7,248.4,128000.0,0.0,0,0,0,0,0.394
125,100125,814,4,8.1,97.2,123100.0,0.0,1,1,0,0,0.146
126,100126,643,13,7.9,94.8,48000.0,0.0,0,0,0,0,0.425
127,100127,812,10,9.2,110.4,222800.0,0.0,2,2,0,0,0.239
128,100128,789,11,9.8,117.6,47400.0,0.0,1,1,1,0,0.42
129,100129,773,13,6.0,72.0,121200.0,0.0,1,1,0,0,0.411
130,100130,810,8,14.2,170.4,110900.0,0.0,2,2,0,0,0.302
131,100131,669,15,11.0,132.0,45900.0,0.0,1,1,0,0,0.321
132,100132,739,14,10.0,120.0,52200.0,0.0,4,4,0,1,0.397
133,100133,723,9,20.3,243.6,89700.0,0.0,2,2,0,0,0.353
134,100134,678,8,13.0,156.0,58000.0,0.0,2,2,0,0,0.276
135,100135,714,7,9.9,118.8,130300.0,0.0,1,1,0,0,0.304
136,100136,714,12,7.2,86.4,144800.0,0.0,1,1,0,1,0.39
137,100137,708,5,10.3,123.6,45400.0,0.0,3,3,0,0,0.233
138,100138,760,12,8.1,97.2,35900.0,0.0,2,2,0,0,0.356
139,100139,671,5,11.8,141.6,63100.0,0.0,1,1,1,0,0.342
140,100140,723,5,8.0,96.0,43700.0,0.0,1,1,0,0,0.214
141,100141,684,12,7.0,84.0,27800.0,0.0,1,1,0,0,0.327
142,100142,721,6,13.0,156.0,79800.0,0.0,1,1,0,0,0.305
143,100143,663,5,4.8,57.6,56000.0,0.0,2,2,0,0,0.302
144,100144,759,14,2.7,32.4,48600.0,0.0,2,2,0,0,0.221
145,100145,610,5,7.0,84.0,37300.0,0.0,1,1,0,0,0.329
146,100146,638,14,10.1,121.2,73600.0,0.0,4,4,1,0,0.424
147,100147,737,9,16.6,199.2,36300.0,0.0,0,0,0,0,0.472
148,100148,642,14,9.5,114.0,144200.0,0.0,3,3,0,0,0.335
149,100149,694,10,4.0,48.0,94300.0,0.0,1,1,0,0,0.182
150,100150,745,17,6.5,78.0,79900.0,0.0,1,1,0,0,0.291
151,100151,735,16,9.9,118.8,184900.0,0.0,1,1,0,0,0.33
152,100152,722,6,2.0,24.0,72100.0,0.0,0,0,0,0,0.231
153,100153,822,7,12.7,152.4,297300.0,0.0,1,1,0,0,0.306
154,100154,660,10,6.0,72.0,44800.0,0.0,1,1,0,0,0.254
155,100155,685,11,4.4,52.8,57000.0,1.0,1,1,0,0,0.213
156,100156,771,9,15.8,189.6,58200.0,0.0,0,0,0,1,0.318
157,100157,715,12,7.0,84.0,82500.0,0.0,0,0,0,0,0.4
158,100158,756,5,4.6,55.2,98500.0,0.0,1,1,0,0,0.162
159,100159,767,11,14.1,169.2,120000.0,0.0,1,1,0,0,0.366
160,100160,664,17,14.4,172.8,40400.0,0.0,4,4,0,0,0.401
161,100161,702,7,6.2,74.4,102300.0,0.0,1,1,0,0,0.242
162,100162,775,9,22.1,265.2,36200.0,0.0,3,3,0,0,0.339
163,100163,742,19,9.0,108.0,36900.0,0.0,2,2,1,0,0.433
164,100164,688,7,10.0,120.0,55800.0,0.0,0,0,0,0,0.199
165,100165,674,0,11.0,132.0,54300.0,0.0,0,0,0,0,0.157
166,100166,689,13,4.0,48.0,21600.0,0.0,1,1,0,0,0.21
167,100167,597,4,3.0,36.0,11300.0,0.0,1,1,0,0,0.134
168,100168,770,14,8.6,103.2,157700.0,0.0,4,4,0,0,0.311
169,100169,774,3,10.0,120.0,242000.0,1.0,0,0,0,0,0.317
170,100170,810,12,19.0,228.0,243500.0,0.0,3,3,0,0,0.47
171,100171,683,13,9.9,118.8,70200.0,0.0,2,2,0,0,0.433
172,100172,722,11,3.9,46.8,144100.0,0.0,1,1,0,0,0.226
173,100173,718,4,14.6,175.2,36800.0,0.0,3,3,0,0,0.345
174,100174,823,12,5.2,62.4,15800.0,0.0,4,4,0,0,0.228
175,100175,678,8,15.3,183.6,103200.0,0.0,1,1,0,0,0.345
176,100176,678,7,11.3,135.6,35800.0,0.0,2,2,0,0,0.257
177,100177,752,14,12.7,152.4,41600.0,0.0,0,0,0,0,0.331
178,100178,800,12,1.7,20.4,69100.0,0.0,0,0,0,0,0.299
179,100179,710,12,15.2,182.4,162300.0,0.0,0,0,0,0,0.414
180,100180,703,9,11.4,136.8,33300.0,0.0,4,4,0,0,0.344
181,100181,746,10,12.2,146.4,106800.0,0.0,2,2,0,0,0.434
182,100182,666,8,14.7,176.4,17200.0,0.0,1,1,0,0,0.344
183,100183,689,5,11.4,136.8,112500.0,0.0,3,3,0,0,0.283
184,100184,708,9,8.0,96.0,78500.0,0.0,2,2,0,0,0.248
185,100185,767,12,3.4,40.8,76100.0,0.0,1,1,0,0,0.321
186,100186,798,21,9.5,114.0,131600.0,0.0,1,1,0,0,0.427
187,100187,670,19,10.7,128.4,35700.0,0.0,1,1,0,0,0.463
188,100188,672,14,11.8,141.6,55700.0,0.0,5,5,0,0,0.363
189,100189,759,11,8.0,96.0,137000.0,0.0,2,2,0,0,0.296
190,100190,765,11,3.0,36.0,114600.0,0.0,0,0,0,0,0.239
191,100191,696,6,13.8,165.6,32900.0,0.0,1,1,0,0,0.255
192,100192,698,10,4.1,49.2,45000.0,0.0,2,2,0,0,0.232
193,100193,720,7,0.0,0.0,41100.0,0.0,0,0,0,0,0.094
194,100194,707,10,11.0,132.0,182200.0,0.0,1,1,0,0,0.374
195,100195,719,2,11.6,139.2,231700.0,0.0,1,1,0,0,0.165
196,100196,676,12,1.0,12.0,51800.0,0.0,0,0,0,0,0.193
197,100197,642,13,8.4,100.8,37200.0,0.0,1,1,0,0,0.275
198,100198,655,6,19.7,236.4,115400.0,0.0,2,2,0,0,0.443
199,100199,725,7,12.4,148.8,138300.0,0.0,2,2,0,0,0.36
200,100200,679,8,14.1,169.2,65400.0,0.0,0,0,0,0,0.32
201,100201,722,12,7.5,90.0,148200.0,0.0,4,4,0,0,0.245
202,100202,820,3,7.5,90.0,283400.0,0.0,4,4,0,0,0.157
203,100203,681,11,2.4,28.8,34700.0,0.0,1,1,0,0,0.164
204,100204,715,11,5.4,64.8,313900.0,0.0,0,0,1,0,0.274
205,100205,734,7,8.3,99.6,110800.0,0.0,2,2,1,0,0.334
206,100206,711,14,17.3,207.6,21400.0,0.0,4,4,1,1,0.429
207,100207,775,7,13.6,163.2,79400.0,0.0,1,1,0,0,0.373
208,100208,713,10,6.2,74.4,33600.0,0.0,0,0,0,1,0.304
209,100209,738,7,14.0,168.0,61500.0,0.0,2,2,0,0,0.3
210,100210,707,7,5.4,64.8,44000.0,0.0,2,2,0,0,0.241
211,100211,792,20,11.3,135.6,227800.0,,0,0,1,0,0.516
212,100212,768,15,0.6,7.2,118600.0,0.0,1,1,0,0,0.379
213,100213,816,15,15.4,184.8,66200.0,0.0,0,0,0,0,0.353
214,100214,716,17,16.3,195.6,89800.0,0.0,1,1,1,0,0.541
215,100215,737,5,21.4,256.8,103900.0,0.0,5,5,0,0,0.403
216,100216,647,9,18.3,219.6,81600.0,0.0,1,1,0,0,0.49
217,100217,657,7,2.0,24.0,20900.0,0.0,1,1,0,0,0.166
218,100218,776,12,11.7,140.4,138700.0,0.0,1,1,0,0,0.427
219,100219,736,18,2.5,30.0,128800.0,0.0,3,3,0,0,0.396
220,100220,703,13,11.0,132.0,51900.0,0.0,0,0,0,0,0.288
221,100221,779,16,16.8,201.6,248100.0,0.0,2,2,0,0,0.479
222,100222,678,8,9.4,112.8,13200.0,0.0,2,2,0,0,0.307
223,100223,655,1,14.0,168.0,43800.0,0.0,1,1,0,0,0.271
224,100224,671,11,13.3,159.6,74500.0,0.0,0,0,0,0,0.423
225,100225,727,10,11.6,139.2,125500.0,0.0,1,1,0,0,0.34
226,100226,720,8,4.0,48.0,42600.0,0.0,0,0,0,0,0.23
227,100227,781,16,17.0,204.0,81800.0,0.0,1,1,0,0,0.473
228,100228,728,10,10.3,123.6,147200.0,0.0,1,1,0,0,0.27
229,100229,760,8,10.5,126.0,185000.0,0.0,2,2,0,0,0.286
230,100230,669,20,1.7,20.4,42700.0,0.0,1,1,0,0,0.284
231,100231,654,8,2.5,30.0,48100.0,0.0,2,2,0,0,0.212
232,100232,744,11,9.4,112.8,212600.0,0.0,4,4,0,0,0.3
233,100233,744,8,8.0,96.0,133200.0,0.0,0,0,1,0,0.36
234,100234,710,8,12.5,150.0,44500.0,0.0,0,0,0,0,0.325
235,100235,705,13,10.0,120.0,52100.0,0.0,0,0,0,0,0.292
236,100236,748,11,10.0,120.0,109900.0,0.0,1,1,0,0,0.399
237,100237,701,7,5.4,64.8,88600.0,0.0,0,0,0,0,0.298
238,100238,665,4,11.6,139.2,55500.0,0.0,3,3,0,0,0.207
239,100239,767,15,9.7,116.4,37300.0,0.0,2,2,0,0,0.358
240,100240,709,9,4.0,48.0,63600.0,0.0,2,2,1,0,0.255
241,100241,711,13,9.4,112.8,241000.0,0.0,3,3,0,0,0.375
242,100242,648,16,13.7,164.4,31500.0,0.0,0,0,0,0,0.409
243,100243,761,8,14.6,175.2,125200.0,0.0,2,2,1,0,0.355
244,100244,684,5,9.3,111.6,60500.0,0.0,3,3,0,0,0.185
245,100245,670,3,6.9,82.8,49000.0,0.0,1,1,0,0,0.148
246,100246,694,4,14.0,168.0,133500.0,0.0,2,2,0,0,0.236
247,100247,725,14,6.2,74.4,47100.0,0.0,1,1,0,1,0.333
248,100248,711,7,6.0,72.0,111000.0,0.0,1,1,0,0,0.345
249,100249,790,12,9.7,116.4,53400.0,0.0,1,1,0,0,0.257
250,100250,699,9,12.8,153.6,65900.0,0.0,2,2,1,0,0.263
251,100251,710,12,16.8,201.6,94400.0,0.0,2,2,0,0,0.491
252,100252,774,15,24.1,289.2,153000.0,0.0,0,0,0,0,0.621
253,100253,690,14,10.8,129.6,61400.0,0.0,2,2,0,0,0.319
254,100254,708,16,10.4,124.8,88100.0,0.0,2,2,0,0,0.354
255,100255,757,11,2.8,33.6,107600.0,0.0,4,4,0,0,0.351
256,100256,720,7,7.4,88.8,20700.0,0.0,2,2,0,0,0.298
257,100257,768,12,2.3,27.6,37700.0,0.0,1,1,0,0,0.304
258,100258,726,10,12.8,153.6,23900.0,0.0,3,3,0,0,0.376
259,100259,723,12,7.4,88.8,160300.0,0.0,0,0,0,1,0.331
260,100260,633,14,8.0,96.0,49100.0,0.0,1,1,0,0,0.408
261,100261,716,11,11.4,136.8,80200.0,0.0,0,0,0,0,0.302
262,100262,722,15,2.1,25.2,112500.0,0.0,1,1,0,0,0.265
263,100263,697,4,14.5,174.0,100500.0,0.0,1,1,0,0,0.384
264,100264,748,6,5.7,68.4,68000.0,0.0,1,1,0,0,0.239
265,100265,636,15,4.0,48.0,32600.0,0.0,1,1,0,0,0.4
266,100266,756,6,1.4,16.8,92700.0,0.0,1,1,1,0,0.127
267,100267,753,12,15.5,186.0,58900.0,0.0,5,5,0,0,0.485
268,100268,770,7,16.9,202.8,70600.0,0.0,2,2,0,0,0.293
269,100269,737,11,15.1,181.2,38300.0,0.0,1,1,0,0,0.487
270,100270,636,7,13.7,164.4,142200.0,0.0,1,1,0,0,0.252
271,100271,685,8,2.2,26.4,54000.0,0.0,1,1,1,0,0.184
272,100272,724,10,14.6,175.2,237200.0,0.0,1,1,0,0,0.274
273,100273,723,9,9.0,108.0,51900.0,0.0,2,2,0,0,0.393
274,100274,684,11,2.0,24.0,24100.0,0.0,1,1,0,0,0.176
275,100275,737,13,2.5,30.0,118500.0,0.0,3,3,0,0,0.349
276,100276,734,0,9.0,108.0,147500.0,0.0,1,1,0,0,0.183
277,100277,723,16,10.0,120.0,75200.0,0.0,0,0,0,1,0.477
278,100278,660,7,13.0,156.0,84700.0,0.0,0,0,0,0,0.265
279,100279,766,2,8.5,102.0,148100.0,0.0,3,3,0,0,0.197
280,100280,768,19,16.1,193.2,28600.0,0.0,2,2,0,0,0.52
281,100281,711,6,16.0,192.0,88700.0,0.0,2,2,0,0,0.35
282,100282,739,17,5.8,69.6,68100.0,0.0,1,1,0,0,0.271
283,100283,698,16,12.6,151.2,54600.0,0.0,4,4,1,0,0.364
284,100284,718,13,5.3,63.6,98500.0,1.0,1,1,0,0,0.375
285,100285,739,6,10.1,121.2,16700.0,0.0,1,1,0,0,0.296
286,100286,607,14,15.7,188.4,28300.0,0.0,0,0,0,0,0.346
287,100287,700,12,18.0,216.0,62500.0,0.0,3,3,0,0,0.472
288,100288,737,1,13.0,156.0,45500.0,0.0,2,2,0,0,0.194
289,100289,725,4,17.0,204.0,24500.0,0.0,1,1,0,0,0.369
290,100290,720,8,13.0,156.0,81200.0,0.0,2,2,0,0,0.419
291,100291,695,10,11.9,142.8,36700.0,0.0,1,1,0,0,0.305
292,100292,697,18,16.8,201.6,24100.0,0.0,0,0,0,0,0.408
293,100293,722,12,2.4,28.8,24600.0,0.0,4,4,0,0,0.248
294,100294,704,10,7.0,84.0,46800.0,0.0,3,3,0,0,0.31
295,100295,709,11,6.4,76.8,45100.0,0.0,0,0,0,0,0.342
296,100296,669,6,10.5,126.0,47200.0,0.0,0,0,1,0,0.258
297,100297,731,17,1.6,19.2,135700.0,0.0,0,0,0,0,0.282
298,100298,791,16,1.4,16.8,110700.0,0.0,1,1,0,0,0.303
299,100299,785,11,15.7,188.4,156000.0,0.0,1,1,0,0,0.425
300,100300,725,3,20.0,240.0,67000.0,0.0,3,3,0,0,0.274
301,100301,677,15,10.3,123.6,68800.0,0.0,0,0,0,0,0.291
302,100302,695,5,18.4,220.8,106900.0,0.0,2,2,0,0,0.345
303,100303,745,8,2.4,28.8,26600.0,0.0,1,1,0,0,0.3
304,100304,813,11,10.4,124.8,90900.0,0.0,2,2,0,0,0.288
305,100305,640,3,14.7,176.4,19100.0,1.0,1,1,0,0,0.292
306,100306,773,17,10.2,122.4,186100.0,0.0,2,2,0,0,0.372
307,100307,762,13,22.7,272.4,147800.0,0.0,1,1,0,0,0.453
308,100308,734,7,13.0,156.0,122500.0,0.0,0,0,0,0,0.238
309,100309,738,4,20.2,242.4,60500.0,0.0,2,2,0,0,0.315
310,100310,721,11,9.8,117.6,45600.0,0.0,2,2,0,0,0.333
311,100311,687,11,8.6,103.2,109900.0,0.0,1,1,0,0,0.233
312,100312,679,11,11.1,133.2,52500.0,0.0,0,0,0,0,0.437
313,100313,807,12,13.1,157.2,220000.0,0.0,2,2,0,1,0.384
314,100314,670,16,13.6,163.2,31100.0,0.0,2,2,0,1,0.515
315,100315,722,5,8.0,96.0,43500.0,0.0,3,3,0,0,0.192
316,100316,719,16,18.0,216.0,77100.0,0.0,0,0,0,0,0.481
317,100317,657,2,0.0,0.0,37300.0,0.0,4,4,0,0,0.061
318,100318,593,2,9.0,108.0,27600.0,0.0,1,1,0,0,0.216
319,100319,707,3,12.0,144.0,211200.0,0.0,0,0,0,0,0.233
320,100320,758,8,12.5,150.0,82900.0,0.0,3,3,0,0,0.247
321,100321,707,8,17.9,214.8,98700.0,1.0,2,2,0,0,0.333
322,100322,677,11,9.9,118.8,41100.0,0.0,3,3,0,0,0.417
323,100323,701,13,9.1,109.2,18100.0,0.0,1,1,0,0,0.4
324,100324,668,17,10.0,120.0,48000.0,0.0,4,4,0,0,0.33
325,100325,726,7,8.0,96.0,56400.0,0.0,7,7,0,0,0.28
326,100326,693,8,11.0,132.0,88600.0,0.0,1,1,0,0,0.401
327,100327,727,13,0.8,9.6,133100.0,0.0,2,2,0,0,0.35
328,100328,694,4,1.2,14.4,45500.0,0.0,0,0,0,0,0.105
329,100329,734,6,10.2,122.4,217700.0,0.0,1,1,1,0,0.37
330,100330,715,11,10.0,120.0,109800.0,0.0,0,0,0,0,0.413
331,100331,721,20,10.6,127.2,108400.0,0.0,2,2,0,0,0.418
332,100332,762,13,3.4,40.8,82300.0,0.0,0,0,0,0,0.319
333,100333,645,12,10.0,120.0,16100.0,0.0,1,1,0,0,0.355
334,100334,757,13,7.5,90.0,305800.0,0.0,3,3,0,0,0.404
335,100335,683,11,5.9,70.8,142100.0,0.0,1,1,0,0,0.222
336,100336,807,6,10.9,130.8,80600.0,0.0,0,0,0,0,0.247
337,100337,700,7,17.0,204.0,40100.0,0.0,1,1,0,0,0.365
338,100338,841,9,18.5,222.0,147100.0,0.0,1,1,0,0,0.31
339,100339,663,0,3.0,36.0,51100.0,0.0,1,1,0,1,0.119
340,100340,681,4,10.6,127.2,16700.0,0.0,2,2,1,0,0.208
341,100341,797,7,17.1,205.2,39800.0,0.0,3,3,0,0,0.263
342,100342,776,8,9.9,118.8,322400.0,0.0,0,0,0,0,0.227
343,100343,664,6,6.3,75.6,36700.0,0.0,0,0,0,0,0.273
344,100344,669,7,1.2,14.4,87100.0,0.0,2,2,0,0,0.151
345,100345,626,15,3.1,37.2,33200.0,0.0,0,0,0,0,0.407
346,100346,737,7,1.6,19.2,76800.0,0.0,0,0,0,0,0.258
347,100347,701,3,19.6,235.2,58300.0,0.0,0,0,0,0,0.308
348,100348,624,7,2.0,24.0,26900.0,0.0,2,2,0,0,0.205
349,100349,712,8,3.0,36.0,40900.0,0.0,1,1,0,0,0.31
350,100350,717,13,3.5,42.0,25200.0,0.0,1,1,0,0,0.36
351,100351,728,7,13.6,163.2,216700.0,0.0,3,3,0,0,0.245
352,100352,744,8,10.8,129.6,238800.0,0.0,0,0,0,0,0.322
353,100353,746,5,4.9,58.8,145800.0,0.0,1,1,0,0,0.12
354,100354,695,11,7.1,85.2,49100.0,0.0,3,3,0,0,0.378
355,100355,673,2,4.7,56.4,56400.0,0.0,0,0,0,0,0.154
356,100356,704,4,9.3,111.6,61600.0,0.0,2,2,0,0,0.26
357,100357,759,12,3.5,42.0,80400.0,0.0,1,1,0,0,0.348
358,100358,746,11,19.8,237.6,154500.0,0.0,0,0,0,0,0.522
359,100359,715,17,14.9,178.8,30800.0,0.0,4,4,0,0,0.365
360,100360,782,13,15.0,180.0,107600.0,0.0,1,1,0,0,0.387
361,100361,821,10,9.4,112.8,476600.0,0.0,1,1,0,0,0.228
362,100362,677,7,0.2,2.4,90900.0,0.0,2,2,1,0,0.279
