id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
100116,OH,4.7,56000,1290.0,83.0,71.0,743
100117,NJ,5.5,82000,1830.0,140.0,115.0,254
100118,TX,3.5,61000,1460.0,100.0,77.0,176
100119,TX,4.7,61000,1470.0,104.0,84.0,394
100120,VA,4.1,74000,1810.0,136.0,117.0,724
100121,WI,4.3,60000,1690.0,101.0,83.0,708
100122,WA,4.8,78000,1720.0,148.0,122.0,807
100123,PA,4.6,61000,1420.0,88.0,77.0,527
100124,TX,4.3,61000,1450.0,101.0,85.0,301
100125,AZ,5.0,58000,1350.0,109.0,98.0,951
100126,GA,4.4,58000,1280.0,102.0,85.0,788
100127,MA,4.3,81000,1790.0,149.0,115.0,541
100128,OH,4.5,56000,1200.0,88.0,85.0,492
100129,IL,5.4,65000,1650.0,95.0,74.0,135
100130,TX,4.4,61000,1430.0,107.0,91.0,906
100131,CA,5.6,75000,1770.0,158.0,128.0,986
100132,MI,5.9,57000,1260.0,101.0,84.0,614
100133,GA,4.4,58000,1330.0,93.0,80.0,623
100134,CA,5.4,75000,1900.0,154.0,125.0,838
100135,FL,5.2,55000,1230.0,116.0,99.0,977
100136,CA,5.3,75000,1650.0,169.0,133.0,288
100137,FL,5.1,55000,1450.0,117.0,88.0,630
100138,GA,4.1,58000,1240.0,106.0,81.0,669
100139,IL,5.4,65000,1810.0,99.0,83.0,943
100140,MI,5.1,57000,1760.0,91.0,86.0,392
100141,MD,4.4,84000,2120.0,124.0,111.0,577
100142,MD,4.5,84000,1840.0,132.0,112.0,698
100143,MO,3.8,55000,1510.0,103.0,86.0,846
100144,MO,4.2,55000,1320.0,98.0,88.0,429
100145,WA,4.5,78000,2050.0,157.0,124.0,477
100146,IL,4.7,65000,1660.0,101.0,88.0,820
100147,CA,5.0,75000,1580.0,163.0,121.0,956
100148,WI,4.6,60000,1510.0,94.0,80.0,712
100149,NJ,4.9,82000,1710.0,141.0,122.0,359
100150,TX,3.8,61000,1470.0,110.0,93.0,187
100151,GA,4.6,58000,1360.0,93.0,82.0,456
100152,FL,5.1,55000,1170.0,115.0,86.0,624
100153,NY,5.4,72000,1860.0,136.0,110.0,883
100154,FL,5.4,55000,1280.0,120.0,91.0,438
100155,TN,4.0,53000,1120.0,103.0,77.0,614
100156,NC,4.2,54000,1450.0,112.0,83.0,261
100157,TX,4.8,61000,1670.0,109.0,90.0,770
100158,MI,5.6,57000,1340.0,88.0,75.0,334
100159,IN,3.7,55000,1480.0,97.0,73.0,297
100160,PA,4.7,61000,1390.0,94.0,80.0,713
100161,PA,4.3,61000,1380.0,101.0,86.0,362
100162,CA,5.0,75000,1490.0,160.0,120.0,168
100163,AZ,4.6,58000,1750.0,120.0,87.0,802
100164,MA,4.3,81000,1740.0,147.0,123.0,875
100165,GA,4.4,58000,1510.0,105.0,84.0,185
100166,WI,4.1,60000,1680.0,105.0,81.0,859
100167,IL,5.2,65000,1420.0,97.0,86.0,586
100168,MD,4.3,84000,1920.0,139.0,113.0,805
100169,MO,4.1,55000,1360.0,90.0,71.0,218
100170,NC,3.8,54000,1180.0,119.0,95.0,750
100171,MO,4.0,55000,1200.0,92.0,85.0,536
100172,CA,5.6,75000,1680.0,167.0,133.0,403
100173,WA,5.1,78000,1680.0,157.0,125.0,627
100174,FL,4.4,55000,1260.0,121.0,95.0,891
100175,MA,4.3,81000,2160.0,144.0,126.0,469
100176,WA,4.6,78000,2010.0,149.0,112.0,887
100177,NJ,5.0,82000,1860.0,134.0,111.0,690
100178,OH,4.6,56000,1340.0,89.0,77.0,307
100179,PA,4.9,61000,1500.0,101.0,91.0,890
100180,FL,4.8,55000,1280.0,120.0,95.0,420
100181,TX,4.4,61000,1390.0,104.0,88.0,112
100182,FL,5.3,55000,1240.0,123.0,101.0,108
100183,WA,5.4,78000,2120.0,156.0,130.0,196
100184,FL,5.3,55000,1260.0,120.0,101.0,517
100185,TX,4.3,61000,1400.0,100.0,84.0,709
100186,TN,4.3,53000,1330.0,114.0,99.0,188
100187,CA,5.6,75000,1690.0,172.0,136.0,532
100188,MA,4.2,81000,2070.0,145.0,123.0,857
100189,FL,4.2,55000,1230.0,113.0,88.0,190
100190,TX,4.4,61000,1770.0,109.0,94.0,189
100191,PA,4.3,61000,1440.0,108.0,96.0,678
100192,TN,3.9,53000,1340.0,109.0,85.0,118
100193,TX,4.2,61000,1610.0,94.0,77.0,634
100194,MA,4.3,81000,2090.0,143.0,114.0,682
100195,CA,5.9,75000,1990.0,167.0,127.0,768
100196,NC,4.2,54000,1290.0,121.0,99.0,152
100197,TN,4.0,53000,1200.0,105.0,80.0,768
100198,TX,3.9,61000,1390.0,114.0,102.0,805
100199,AZ,4.6,58000,1400.0,116.0,92.0,704
100200,CA,5.4,75000,1640.0,168.0,129.0,398
100201,GA,4.0,58000,1310.0,95.0,82.0,172
100202,NY,4.6,72000,1490.0,144.0,117.0,524
100203,FL,4.3,55000,1300.0,112.0,84.0,876
100204,TX,4.5,61000,1330.0,95.0,82.0,879
100205,TX,3.5,61000,1410.0,104.0,91.0,363
100206,MO,4.1,55000,1530.0,100.0,75.0,655
100207,MA,4.6,81000,2100.0,148.0,122.0,684
100208,FL,4.4,55000,1370.0,119.0,94.0,253
100209,NC,4.4,54000,1590.0,107.0,86.0,872
100210,NJ,5.2,82000,1980.0,133.0,119.0,664
100211,TX,4.3,61000,1420.0,105.0,81.0,182
100212,CA,5.4,75000,1500.0,165.0,136.0,649
100213,MA,4.6,81000,1860.0,133.0,105.0,738
100214,TX,4.3,61000,1250.0,99.0,83.0,707
100215,GA,3.7,58000,1270.0,102.0,78.0,815
100216,FL,4.8,55000,1250.0,116.0,93.0,327
100217,MA,3.8,81000,1800.0,147.0,127.0,620
100218,MI,5.6,57000,1340.0,95.0,81.0,342
100219,IN,4.2,55000,1420.0,90.0,77.0,304
100220,CA,5.4,75000,1760.0,158.0,117.0,540
100221,IN,4.3,55000,1220.0,94.0,76.0,937
100222,TX,4.2,61000,1390.0,108.0,93.0,661
100223,OH,4.4,56000,1320.0,92.0,86.0,193
100224,WI,4.5,60000,1650.0,101.0,83.0,386
100225,WA,4.9,78000,1900.0,158.0,127.0,589
100226,VA,3.9,74000,1620.0,127.0,99.0,160
100227,GA,4.2,58000,1280.0,94.0,81.0,602
100228,CA,5.3,75000,1800.0,161.0,132.0,140
100229,AZ,4.7,58000,1400.0,117.0,94.0,688
100230,WA,5.0,78000,1560.0,164.0,138.0,992
100231,VA,4.1,74000,2020.0,123.0,103.0,782
100232,AZ,4.3,58000,1360.0,114.0,101.0,478
100233,GA,4.4,58000,1370.0,109.0,89.0,802
100234,CA,5.4,75000,1540.0,167.0,121.0,641
100235,TX,4.3,61000,1410.0,101.0,90.0,187
100236,IL,5.4,65000,1520.0,100.0,83.0,981
100237,MA,4.2,81000,1990.0,149.0,133.0,381
100238,AZ,4.3,58000,1360.0,111.0,81.0,425
100239,IL,5.1,65000,1580.0,105.0,89.0,784
100240,IN,4.0,55000,1360.0,96.0,83.0,125
100241,NY,4.5,72000,1630.0,139.0,120.0,760
100242,NY,5.6,72000,1910.0,142.0,113.0,249
100243,FL,4.9,55000,1520.0,116.0,100.0,597
100244,MA,3.7,81000,1800.0,141.0,119.0,289
100245,CA,5.3,75000,1890.0,150.0,113.0,974
100246,OH,4.9,56000,1370.0,88.0,69.0,143
100247,CA,5.6,75000,1590.0,165.0,125.0,960
100248,OH,4.3,56000,1280.0,82.0,70.0,407
100249,WI,4.8,60000,1440.0,99.0,92.0,312
100250,CA,5.7,75000,1760.0,153.0,119.0,856
100251,IL,4.9,65000,1540.0,101.0,84.0,721
100252,MO,3.7,55000,1180.0,88.0,71.0,706
100253,TX,4.3,61000,1660.0,100.0,78.0,252
100254,TN,4.3,53000,1290.0,113.0,99.0,137
100255,WI,3.9,60000,1320.0,97.0,89.0,988
100256,NY,5.5,72000,1750.0,139.0,113.0,349
100257,PA,5.0,61000,1470.0,103.0,95.0,648
100258,FL,4.9,55000,1060.0,113.0,84.0,924
100259,CA,5.2,75000,1770.0,169.0,132.0,644
100260,CA,5.4,75000,1780.0,164.0,126.0,997
100261,NC,4.0,54000,1330.0,101.0,84.0,485
100262,NY,4.9,72000,1710.0,143.0,119.0,643
100263,PA,4.6,61000,1550.0,93.0,84.0,939
100264,NJ,5.3,82000,1810.0,129.0,104.0,845
100265,TN,4.6,53000,1410.0,102.0,92.0,703
100266,TX,4.4,61000,1460.0,102.0,86.0,524
100267,TX,4.2,61000,1410.0,101.0,92.0,710
100268,GA,4.5,58000,1230.0,100.0,80.0,572
100269,WI,4.5,60000,1290.0,99.0,81.0,439
100270,OH,5.1,56000,1370.0,82.0,67.0,124
100271,FL,4.8,55000,1160.0,106.0,89.0,922
100272,NY,4.5,72000,1750.0,136.0,111.0,682
100273,VA,3.6,74000,1680.0,129.0,114.0,560
100274,CA,5.4,75000,2010.0,164.0,125.0,657
100275,FL,4.3,55000,1350.0,120.0,98.0,281
100276,VA,3.2,74000,1900.0,136.0,112.0,439
100277,CA,5.6,75000,1860.0,157.0,125.0,174
100278,NY,4.9,72000,1740.0,133.0,112.0,719
100279,NY,4.7,72000,1530.0,146.0,111.0,915
100280,CA,5.5,75000,2000.0,159.0,129.0,971
100281,IL,5.2,65000,1560.0,92.0,76.0,545
100282,FL,4.5,55000,1420.0,113.0,87.0,445
100283,WI,4.4,60000,1280.0,109.0,96.0,682
100284,OH,5.2,56000,1210.0,84.0,76.0,399
100285,FL,5.0,55000,1640.0,110.0,91.0,312
100286,WA,5.1,78000,1860.0,151.0,114.0,883
100287,PA,4.3,61000,1430.0,88.0,84.0,520
100288,IL,4.8,65000,1720.0,98.0,81.0,682
100289,CA,5.3,75000,1630.0,159.0,124.0,142
100290,OH,4.9,56000,1260.0,93.0,73.0,662
100291,PA,4.3,61000,1420.0,103.0,85.0,364
100292,FL,4.9,55000,1250.0,115.0,92.0,428
100293,MI,5.4,57000,1450.0,94.0,74.0,125
100294,OH,4.9,56000,1320.0,93.0,87.0,941
100295,IL,4.6,65000,1430.0,102.0,87.0,443
100296,MI,5.1,57000,1110.0,95.0,77.0,220
100297,TX,4.4,61000,1550.0,106.0,82.0,801
100298,MA,4.5,81000,1740.0,146.0,119.0,444
100299,MI,5.8,57000,1580.0,92.0,78.0,273
100300,CA,5.6,75000,1610.0,164.0,137.0,795
100301,CA,5.5,75000,1740.0,166.0,135.0,458
100302,TX,4.6,61000,1270.0,102.0,82.0,834
100303,FL,4.8,55000,1410.0,124.0,97.0,357
100304,IN,4.6,55000,1260.0,93.0,74.0,841
100305,VA,3.3,74000,1510.0,121.0,105.0,276
100306,TX,4.0,61000,1420.0,106.0,77.0,830
100307,IL,6.1,65000,1820.0,96.0,88.0,853
100308,AZ,4.2,58000,1400.0,117.0,99.0,874
100309,NC,4.3,54000,1510.0,117.0,91.0,343
100310,MA,4.1,81000,1800.0,145.0,127.0,512
100311,MO,4.2,55000,1100.0,91.0,76.0,162
100312,TX,3.9,61000,1640.0,103.0,92.0,452
100313,OH,5.1,56000,1230.0,97.0,79.0,970
100314,CA,5.4,75000,1760.0,164.0,132.0,467
100315,NY,5.4,72000,1790.0,138.0,110.0,824
100316,CA,5.2,75000,1840.0,161.0,126.0,146
100317,NY,4.7,72000,1590.0,151.0,119.0,439
100318,NJ,5.0,82000,1780.0,134.0,106.0,441
100319,FL,4.6,55000,1290.0,124.0,104.0,195
100320,VA,4.3,74000,2080.0,126.0,100.0,503
100321,TX,4.1,61000,1340.0,111.0,89.0,728
100322,NC,4.2,54000,1180.0,113.0,87.0,824
100323,MD,4.6,84000,1960.0,132.0,105.0,415
100324,NC,3.7,54000,1570.0,108.0,84.0,518
100325,CA,5.3,75000,1960.0,155.0,114.0,406
100326,MA,4.2,81000,2090.0,141.0,120.0,469
100327,CA,5.6,75000,1390.0,158.0,125.0,813
100328,IN,3.9,55000,1320.0,105.0,80.0,595
100329,IL,5.4,65000,1710.0,96.0,88.0,302
100330,OH,4.3,56000,1400.0,85.0,71.0,824
100331,TX,4.1,61000,1540.0,97.0,77.0,398
100332,NJ,5.0,82000,2140.0,133.0,126.0,888
100333,GA,4.1,58000,1330.0,106.0,86.0,910
100334,MA,4.4,81000,2080.0,140.0,121.0,843
100335,NJ,5.5,82000,1860.0,135.0,114.0,918
100336,CA,5.7,75000,1620.0,166.0,128.0,939
100337,MA,4.6,81000,1960.0,142.0,116.0,996
100338,IL,5.6,65000,1630.0,102.0,75.0,416
100339,FL,5.3,55000,1290.0,120.0,99.0,804
100340,NY,5.2,72000,1860.0,140.0,117.0,458
100341,IL,4.7,65000,1750.0,109.0,94.0,152
100342,MO,4.6,55000,1310.0,100.0,95.0,683
100343,MO,4.3,55000,1170.0,97.0,82.0,633
100344,CA,5.4,75000,1950.0,159.0,117.0,564
100345,NC,4.2,54000,1330.0,103.0,82.0,499
100346,MO,4.3,55000,1190.0,96.0,85.0,688
100347,IN,4.0,55000,1620.0,102.0,91.0,861
100348,NC,4.5,54000,1190.0,110.0,86.0,150
100349,IL,5.4,65000,1640.0,107.0,88.0,801
100350,MI,5.3,57000,1330.0,89.0,74.0,801
100351,PA,4.3,61000,1480.0,91.0,84.0,993
100352,MD,4.6,84000,2380.0,135.0,111.0,656
100353,NJ,5.1,82000,1990.0,139.0,121.0,106
100354,NC,4.5,54000,1460.0,112.0,94.0,127
100355,CA,5.5,75000,1730.0,162.0,128.0,488
100356,FL,4.5,55000,1370.0,121.0,98.0,761
100357,NJ,5.5,82000,1930.0,142.0,116.0,525
100358,OH,5.2,56000,1340.0,88.0,77.0,564
100359,MD,4.4,84000,2130.0,127.0,113.0,310
100360,GA,4.0,58000,1320.0,105.0,80.0,548
100361,MO,3.9,55000,1210.0,89.0,75.0,519
100362,IL,5.1,65000,1510.0,104.0,86.0,752
100363,IN,4.5,55000,1450.0,94.0,79.0,523
100364,CA,5.7,75000,1940.0,154.0,116.0,136
100365,OH,4.4,56000,1610.0,96.0,75.0,495
100366,FL,4.7,55000,1130.0,108.0,86.0,345
100367,FL,4.7,55000,1330.0,118.0,104.0,923
100368,GA,3.9,58000,1430.0,109.0,90.0,691
100369,MO,3.7,55000,1350.0,92.0,84.0,529
100370,NY,4.4,72000,1910.0,144.0,114.0,953
100371,MO,4.2,55000,1310.0,98.0,77.0,755
100372,AZ,3.9,58000,1560.0,108.0,84.0,645
100373,MI,4.9,57000,1300.0,96.0,84.0,191
100374,TX,4.7,61000,1560.0,101.0,85.0,633
100375,CA,5.3,75000,1680.0,155.0,129.0,156
100376,TN,3.8,53000,1260.0,90.0,85.0,264
100377,VA,3.9,74000,1890.0,127.0,101.0,694
100378,AZ,4.7,58000,1360.0,118.0,86.0,310
100379,MD,4.5,84000,1750.0,131.0,104.0,365
100380,TX,4.1,61000,1360.0,99.0,77.0,228
100381,NC,4.0,54000,1370.0,107.0,79.0,355
100382,IL,4.9,65000,1490.0,103.0,76.0,291
100383,CA,5.8,75000,2170.0,162.0,128.0,718
100384,OH,4.8,56000,1390.0,88.0,70.0,345
100385,NY,4.1,72000,1580.0,131.0,99.0,750
100386,NJ,5.2,82000,1900.0,134.0,111.0,510
100387,MO,4.0,55000,1250.0,89.0,67.0,888
100388,CA,5.7,75000,1530.0,166.0,123.0,679
100389,NY,5.1,72000,1410.0,144.0,112.0,378
100390,IL,5.2,65000,1380.0,96.0,81.0,264
100391,CA,5.5,75000,1620.0,165.0,136.0,966
100392,FL,4.5,55000,1290.0,117.0,88.0,969
100393,MI,5.4,57000,1360.0,103.0,88.0,354
100394,MA,4.7,81000,2190.0,144.0,122.0,341
100395,TX,4.6,61000,1480.0,103.0,82.0,332
100396,TN,4.1,53000,1250.0,110.0,86.0,411
100397,OH,4.6,56000,1200.0,92.0,71.0,852
100398,MA,4.4,81000,1880.0,148.0,131.0,844
100399,TN,3.8,53000,1200.0,109.0,96.0,830
100400,CA,5.9,75000,1820.0,157.0,124.0,534
100401,CA,5.1,75000,1820.0,153.0,126.0,967
100402,MA,4.2,81000,1950.0,148.0,116.0,635
100403,MA,4.3,81000,2020.0,142.0,117.0,823
100404,MO,4.1,55000,1300.0,95.0,80.0,848
100405,WA,4.5,78000,2100.0,145.0,119.0,338
100406,NC,4.0,54000,1340.0,105.0,82.0,729
100407,IN,4.1,55000,1580.0,88.0,77.0,335
100408,CA,5.6,75000,1720.0,157.0,121.0,253
100409,IL,4.7,65000,1480.0,99.0,85.0,984
100410,IL,5.6,65000,1450.0,88.0,80.0,868
100411,MI,5.4,57000,1510.0,92.0,85.0,446
100412,WA,4.5,78000,2020.0,151.0,122.0,273
100413,VA,3.3,74000,1680.0,129.0,94.0,950
100414,OH,4.4,56000,1380.0,86.0,69.0,679
100415,GA,3.9,58000,1500.0,103.0,83.0,564
100416,VA,3.4,74000,1850.0,130.0,107.0,291
100417,OH,4.3,56000,1210.0,92.0,69.0,745
100418,FL,5.1,55000,1280.0,109.0,89.0,979
100419,WI,4.2,60000,1440.0,94.0,77.0,967
100420,TN,4.2,53000,1200.0,102.0,88.0,378
100421,CA,5.6,75000,1780.0,160.0,133.0,844
100422,WI,4.1,60000,1450.0,92.0,80.0,142
100423,CA,5.6,75000,1720.0,164.0,141.0,956
100424,MI,5.6,57000,1200.0,96.0,87.0,475
100425,AZ,4.4,58000,1410.0,120.0,93.0,259
100426,GA,4.5,58000,1250.0,107.0,84.0,896
100427,NY,4.7,72000,1780.0,146.0,116.0,583
100428,FL,5.2,55000,1220.0,109.0,91.0,246
100429,NY,5.1,72000,1740.0,139.0,121.0,436
100430,CA,5.6,75000,1800.0,169.0,125.0,911
100431,CA,5.2,75000,1720.0,161.0,125.0,156
100432,OH,4.4,56000,1210.0,94.0,79.0,986
100433,MO,4.5,55000,1340.0,96.0,81.0,289
100434,NC,4.7,54000,1360.0,117.0,87.0,471
100435,AZ,5.0,58000,1690.0,116.0,90.0,768
100436,FL,4.3,55000,1350.0,125.0,98.0,322
100437,NC,4.0,54000,1300.0,109.0,80.0,949
100438,NJ,5.6,82000,2050.0,139.0,130.0,505
100439,WA,4.8,78000,1640.0,155.0,130.0,252
100440,MI,5.7,57000,1530.0,98.0,78.0,232
100441,OH,4.5,56000,1420.0,79.0,72.0,625
100442,WA,5.1,78000,1800.0,162.0,126.0,687
100443,MO,4.0,55000,1260.0,102.0,89.0,908
100444,TX,3.8,61000,1430.0,97.0,80.0,247
100445,TX,3.6,61000,1480.0,101.0,83.0,785
100446,NJ,5.3,82000,2060.0,132.0,116.0,137
100447,NY,5.1,72000,1690.0,139.0,117.0,543
100448,TX,4.0,61000,1410.0,105.0,83.0,952
100449,IN,4.1,55000,1310.0,95.0,83.0,623
100450,CA,5.3,75000,1590.0,160.0,122.0,641
100451,AZ,4.7,58000,1450.0,117.0,92.0,468
100452,TX,4.5,61000,1460.0,112.0,102.0,647
100453,NY,5.2,72000,1950.0,146.0,120.0,593
100454,CA,5.9,75000,1960.0,159.0,115.0,444
100455,CA,5.7,75000,1890.0,155.0,118.0,239
100456,FL,5.2,55000,1320.0,104.0,89.0,538
100457,NC,4.2,54000,1480.0,107.0,86.0,278
100458,IL,5.1,65000,1510.0,107.0,90.0,169
100459,MD,4.8,84000,2130.0,129.0,104.0,597
100460,WI,4.0,60000,1480.0,102.0,90.0,147
100461,OH,4.4,56000,1360.0,95.0,78.0,197
100462,CA,5.3,75000,1720.0,165.0,132.0,293
100463,NY,4.6,72000,1860.0,143.0,117.0,339
100464,MO,4.4,55000,1240.0,98.0,72.0,938
100465,MI,5.5,57000,1400.0,98.0,81.0,633
100466,IN,4.4,55000,1180.0,93.0,80.0,655
100467,VA,3.6,74000,1610.0,124.0,101.0,355
100468,MO,4.2,55000,1340.0,92.0,77.0,590
100469,NY,4.7,72000,1760.0,148.0,122.0,335
100470,CA,5.2,75000,1840.0,161.0,125.0,147
100471,IL,5.5,65000,1570.0,105.0,98.0,628
100472,GA,3.9,58000,1390.0,107.0,94.0,583
100473,NY,5.0,72000,1630.0,148.0,123.0,606
100474,CA,5.1,75000,1870.0,161.0,135.0,364
100475,CA,5.4,75000,1590.0,168.0,117.0,245
100476,NY,5.2,72000,1870.0,153.0,116.0,602
100477,IN,4.2,55000,1240.0,102.0,85.0,766
100478,TN,4.0,53000,1190.0,109.0,86.0,149
100479,PA,4.3,61000,1380.0,99.0,85.0,619
100480,OH,5.2,56000,1360.0,88.0,72.0,462
100481,TX,4.4,61000,1420.0,112.0,91.0,661
100482,MD,3.8,84000,1910.0,132.0,108.0,102
100483,MI,5.7,57000,1380.0,93.0,76.0,233
100484,PA,4.5,61000,1320.0,89.0,72.0,509
100485,TN,4.2,53000,1210.0,102.0,70.0,200
100486,MI,5.8,57000,1420.0,89.0,76.0,291
100487,MI,5.7,57000,1230.0,97.0,80.0,682
100488,PA,5.0,61000,1400.0,97.0,87.0,109
100489,TX,4.3,61000,1540.0,105.0,86.0,598
100490,CA,5.7,75000,1760.0,162.0,135.0,539
100491,PA,4.2,61000,1310.0,87.0,80.0,400
100492,IN,4.5,55000,1580.0,95.0,86.0,916
100493,AZ,4.2,58000,1300.0,117.0,101.0,126
