cust_id,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents
100168,43,69200,4.9,Full Time,Graduate,Divorced,0
100169,45,76000,2.9,Full Time,Bachelor,Married,3
100170,44,77400,7.5,Full Time,Bachelor,Single,1
100171,30,23900,9.3,Full Time,Bachelor,Married,1
100172,31,74400,7.0,Full Time,Advanced,Married,2
100173,40,42900,10.7,Contractor,Some College,Married,1
100174,38,20000,3.8,Self Employed,Graduate,Single,0
100175,38,62900,4.3,Full Time,Graduate,Single,0
100176,37,24800,0.2,Full Time,High School,Single,0
100177,50,62800,8.4,Self Employed,Bachelor,Married,3
100178,50,69200,6.5,Full Time,Advanced,Married,1
100179,40,77200,2.6,Full Time,Graduate,Married,1
100180,46,36200,5.1,Full Time,Graduate,Single,0
100181,39,51200,3.2,Contractor,Bachelor,Single,0
100182,37,21400,12.2,Self Employed,Some College,Divorced,1
100183,36,51400,6.7,Full Time,Some College,Single,2
100184,26,27800,2.4,Full Time,Bachelor,Married,1
100185,41,32600,7.7,Full Time,Bachelor,Married,5
100186,53,52200,8.5,Full Time,Advanced,Married,2
100187,68,20000,2.1,Self Employed,Some College,Married,0
100188,38,39900,1.5,Full Time,Some College,Married,4
100189,26,59700,8.2,Full Time,Graduate,Single,0
100190,40,51900,3.6,Full Time,Graduate,Divorced,1
100191,45,46600,1.5,Full Time,Graduate,Married,1
100192,27,34700,6.2,Full Time,High School,Single,1
100193,18,28300,0.9,Full Time,Bachelor,Single,0
100194,29,79700,7.0,Full Time,Bachelor,Single,3
100195,43,79700,6.9,Contractor,Graduate,Married,2
100196,19,20000,1.3,Contractor,Bachelor,Single,0
100197,31,20000,10.1,Self Employed,High School,Single,0
100198,42,51200,0.5,Full Time,High School,Married,0
100199,45,49700,2.9,Full Time,Advanced,Divorced,0
100200,43,32800,9.2,Part Time,High School,Single,0
100201,47,103300,3.9,Part Time,Bachelor,Divorced,0
100202,37,83700,7.7,Full Time,Advanced,Divorced,2
100203,26,20000,7.8,Full Time,High School,Single,0
100204,51,124200,14.6,Full Time,Bachelor,Divorced,0
100205,44,103000,6.8,Self Employed,Bachelor,Married,3
100206,37,25800,5.0,Full Time,Some College,Married,2
100207,39,52200,1.3,Self Employed,Graduate,Single,1
100208,35,30500,7.6,Full Time,High School,Single,1
100209,54,20400,1.6,Contractor,High School,Single,1
100210,33,51200,2.0,Full Time,Graduate,Single,1
100211,57,79400,9.0,Full Time,Some College,Married,0
100212,50,52000,6.1,Full Time,Graduate,Married,3
100213,38,66100,4.9,Full Time,Bachelor,Single,0
100214,55,33200,13.2,Part Time,Some College,Married,2
100215,42,59800,10.7,Part Time,Some College,Married,1
100216,44,42100,2.3,Self Employed,High School,Married,1
100217,26,22200,3.2,Full Time,High School,Single,1
100218,46,42400,10.9,Self Employed,High School,Married,2
100219,38,64600,4.7,Full Time,Graduate,Married,1
100220,29,33600,5.3,Part Time,Bachelor,Married,0
100221,50,114400,3.6,Self Employed,Graduate,Married,3
100222,56,20000,11.2,Full Time,Graduate,Married,4
100223,38,24100,10.5,Contractor,Some College,Married,3
100224,38,50000,0.2,Part Time,Graduate,Divorced,2
100225,46,46000,3.8,Self Employed,Bachelor,Married,1
100226,22,20000,4.5,Full Time,High School,Single,0
100227,35,102700,9.9,Full Time,Graduate,Married,1
100228,44,64300,4.9,Full Time,Advanced,Married,0
100229,43,67100,8.6,Full Time,High School,Single,1
100230,31,43300,10.6,Full Time,Bachelor,Married,0
100231,25,20000,4.6,Full Time,High School,Married,0
100232,37,85600,7.4,Full Time,Graduate,Married,1
100233,37,75300,10.0,Full Time,Graduate,Single,0
100234,44,48400,10.2,Full Time,Advanced,Married,1
100235,37,26200,4.7,Contractor,Graduate,Married,2
100236,34,42600,10.8,Full Time,Bachelor,Married,2
100237,33,37700,5.5,Full Time,High School,Married,0
100238,39,20000,3.7,Full Time,Some College,Married,2
100239,31,30800,7.4,Full Time,Graduate,Married,3
100240,22,40400,4.0,Full Time,Advanced,Single,1
100241,40,86300,11.6,Part Time,Graduate,Married,1
100242,67,21300,6.7,Full Time,High School,Divorced,1
100243,40,59100,6.2,Full Time,Graduate,Married,0
100244,44,37400,11.1,Full Time,Graduate,Single,1
100245,37,41400,6.0,Full Time,Bachelor,Single,0
100246,34,56300,8.9,Contractor,High School,Single,1
100247,47,47200,1.6,Full Time,Some College,Single,0
100248,36,37900,6.6,Full Time,Some College,Single,2
100249,55,47400,0.7,Full Time,Some College,Divorced,3
100250,45,28900,1.8,Self Employed,High School,Married,1
100251,40,49400,7.4,Full Time,Some College,Single,0
100252,51,78100,2.5,Full Time,Graduate,Single,0
100253,30,51500,6.5,Part Time,Graduate,Married,0
100254,46,47600,8.5,Full Time,Some College,Single,1
100255,46,59500,3.9,Full Time,Advanced,Married,0
100256,44,32200,0.9,Part Time,Bachelor,Divorced,2
100257,69,20000,,Part Time,Bachelor,Divorced,1
100258,39,24400,3.9,Full Time,Graduate,Married,3
100259,46,57500,8.9,Full Time,Bachelor,Single,0
100260,26,27500,2.3,Part Time,Some College,Single,0
100261,35,38300,7.8,Self Employed,Bachelor,Married,3
100262,55,38900,5.2,Full Time,Bachelor,Married,2
100263,46,62600,15.7,Full Time,Bachelor,Married,3
100264,24,32900,4.2,Part Time,Bachelor,Single,1
100265,22,20500,0.9,Self Employed,High School,Single,0
100266,29,28500,3.2,Self Employed,Some College,Single,1
100267,34,20000,4.2,Full Time,Some College,Married,0
100268,40,54200,3.7,Full Time,Some College,Married,3
100269,61,20000,3.7,Full Time,Bachelor,Married,1
100270,34,62300,8.5,Full Time,High School,Married,4
100271,35,27100,11.6,Full Time,Some College,Married,1
100272,35,135700,2.5,Full Time,Bachelor,Married,2
100273,40,36900,2.7,Full Time,High School,Married,0
100274,20,20000,2.6,Full Time,Some College,Single,1
100275,56,37300,1.5,Full Time,High School,Single,1
100276,27,77500,9.6,Full Time,Graduate,Married,1
100277,53,51000,3.7,Self Employed,Bachelor,Single,0
100278,31,51500,7.0,Full Time,Some College,Single,2
100279,40,60500,10.7,Full Time,Graduate,Married,3
100280,67,20000,1.5,Full Time,Bachelor,Married,0
100281,46,59600,10.7,Full Time,Graduate,Married,0
100282,40,52400,0.4,Full Time,Graduate,Divorced,1
100283,35,86200,5.4,Full Time,Bachelor,Single,3
100284,35,32000,,Full Time,Some College,Married,2
100285,53,20000,2.7,Full Time,High School,Married,2
100286,42,23600,13.3,Full Time,High School,Married,1
100287,36,32900,3.8,Full Time,Some College,Single,0
100288,31,40100,7.5,Full Time,Some College,Married,4
100289,53,24600,10.9,Part Time,Some College,Married,3
100290,31,37200,6.7,Full Time,Some College,Married,1
100291,66,33700,2.3,Self Employed,Bachelor,Single,0
100292,41,21700,6.3,Full Time,Some College,Married,2
100293,33,20000,9.7,Self Employed,Some College,Single,0
100294,25,20000,1.9,Full Time,High School,Married,0
100295,40,20000,3.4,Full Time,Some College,Married,1
100296,34,26900,13.4,Contractor,Bachelor,Single,0
100297,35,90600,2.0,Full Time,Bachelor,Married,1
100298,47,94300,4.2,Full Time,Graduate,Married,1
100299,54,84900,3.9,Full Time,Bachelor,Married,3
100300,38,43500,7.4,Full Time,Bachelor,Single,0
100301,62,31500,3.1,Full Time,High School,Married,2
100302,38,40500,6.3,Self Employed,High School,Single,0
100303,37,40300,3.5,Full Time,Bachelor,Single,0
100304,58,55400,7.5,Full Time,Bachelor,Married,0
100305,37,20000,6.3,Full Time,High School,Married,0
100306,45,86200,6.1,Self Employed,Graduate,Married,3
100307,54,48300,10.4,Full Time,Bachelor,Divorced,1
100308,31,80100,5.0,Full Time,Graduate,Single,1
100309,49,51700,4.1,Full Time,Bachelor,Single,2
100310,38,36700,6.7,Full Time,Some College,Single,0
100311,27,46900,4.8,Full Time,Bachelor,Married,1
100312,48,32800,5.0,Full Time,Some College,Married,2
100313,37,67700,2.2,Part Time,Bachelor,Married,1
100314,57,20000,4.3,Full Time,High School,Single,1
100315,26,24100,0.5,Self Employed,High School,Married,2
100316,46,28700,9.4,Full Time,Graduate,Married,2
100317,18,20000,0.4,Full Time,Some College,Single,1
100318,27,20000,3.6,Full Time,High School,Single,0
100319,30,79600,9.7,Part Time,Graduate,Married,4
100320,41,41800,7.0,Full Time,Bachelor,Divorced,0
100321,46,37600,3.2,Full Time,Some College,Married,2
100322,35,20000,1.0,Full Time,High School,Married,2
100323,46,20000,1.6,Full Time,Some College,Single,1
100324,28,20000,10.3,Full Time,Some College,Married,2
100325,26,35700,,Full Time,High School,Single,0
100326,29,56300,8.4,Full Time,Bachelor,Single,3
100327,29,62300,7.7,Full Time,Graduate,Divorced,1
100328,34,67200,2.1,Full Time,Graduate,Married,3
100329,57,94900,4.5,Full Time,Advanced,Married,2
100330,28,72900,7.6,Full Time,Bachelor,Single,0
100331,69,39900,2.5,Full Time,Some College,Single,0
100332,47,29900,2.7,Full Time,Bachelor,Married,1
100333,28,20700,9.7,Part Time,Some College,Married,1
100334,49,97600,11.3,Full Time,Bachelor,Married,1
100335,25,65400,5.6,Contractor,Bachelor,Married,1
100336,43,66700,9.9,Full Time,Bachelor,Married,3
100337,35,41600,8.4,Full Time,Some College,Single,3
100338,57,82400,,Self Employed,Advanced,Single,1
100339,21,20000,3.2,Self Employed,High School,Single,0
100340,29,20300,2.8,Full Time,Some College,Married,0
100341,51,49400,4.1,Part Time,Advanced,Married,1
100342,61,122100,4.1,Full Time,Some College,Married,1
100343,33,45200,2.5,Part Time,High School,Single,1
100344,38,49900,2.4,Full Time,Bachelor,Married,0
100345,39,31700,17.3,Part Time,High School,Single,2
100346,49,32300,7.9,Full Time,Bachelor,Married,2
100347,52,39200,2.2,Part Time,Graduate,Divorced,4
100348,20,20000,2.2,Self Employed,High School,Single,0
100349,53,50400,,Full Time,Bachelor,Married,2
100350,35,27200,11.4,Part Time,Bachelor,Married,3
100351,43,70800,4.4,Full Time,Graduate,Married,1
100352,52,76700,6.5,Full Time,Bachelor,Married,1
100353,28,53000,2.0,Full Time,Advanced,Single,1
100354,44,26600,4.4,Full Time,High School,Single,1
100355,34,20000,7.3,Part Time,High School,Single,1
100356,35,30900,0.7,Full Time,Bachelor,Single,0
100357,54,26800,6.0,Full Time,High School,Married,1
100358,49,56100,8.2,Part Time,Bachelor,Married,0
100359,44,25900,0.8,Full Time,Graduate,Married,2
100360,51,56000,4.9,Part Time,Some College,Divorced,1
100361,40,161000,6.9,Contractor,Advanced,Married,1
100362,32,34300,2.1,Part Time,High School,Married,5
100363,53,65100,4.6,Full Time,High School,Married,1
100364,50,25000,6.1,Full Time,Some College,Divorced,1
100365,27,47200,2.1,Full Time,Bachelor,Married,3
100366,29,53700,7.3,Full Time,Graduate,Married,3
100367,40,37600,5.2,Self Employed,Bachelor,Single,1
100368,18,20000,0.7,Full Time,High School,Single,1
100369,36,25600,2.2,Self Employed,Bachelor,Single,1
100370,22,21500,4.6,Part Time,Some College,Single,1
100371,41,49100,8.3,Self Employed,Advanced,Married,2
100372,35,67800,6.6,Part Time,Bachelor,Married,0
100373,41,64800,3.1,Self Employed,Advanced,Married,1
100374,40,29600,11.3,Full Time,High School,Married,1
100375,22,28300,4.2,Self Employed,Advanced,Single,2
100376,19,20000,1.8,Full Time,Bachelor,Single,0
100377,38,40600,8.2,Full Time,Graduate,Married,1
100378,34,46800,8.1,Full Time,Bachelor,Married,0
100379,34,48700,7.5,Full Time,Bachelor,Married,0
100380,20,20000,2.7,Full Time,Some College,Single,0
100381,59,20000,7.9,Full Time,Some College,Divorced,1
100382,27,56100,,Full Time,Some College,Married,2
100383,46,65300,3.9,Full Time,Bachelor,Married,1
100384,56,33200,4.0,Part Time,Bachelor,Married,1
100385,36,42600,6.2,Full Time,Bachelor,Married,1
100386,33,30200,5.3,Full Time,Bachelor,Single,1
100387,39,28700,2.4,Full Time,High School,Single,1
100388,41,65600,0.5,Part Time,Some College,Single,0
100389,29,35400,9.1,Full Time,Graduate,Single,1
100390,48,32100,14.2,Full Time,Bachelor,Single,2
100391,51,101100,4.0,Full Time,Advanced,Married,4
100392,37,66300,15.0,Full Time,Graduate,Married,1
100393,40,34700,6.7,Part Time,Bachelor,Married,1
100394,23,38000,1.3,Full Time,Some College,Single,1
100395,48,46600,6.1,Full Time,Bachelor,Single,0
100396,30,39400,9.7,Full Time,Advanced,Single,0
100397,33,51700,1.2,Full Time,Bachelor,Married,3
100398,25,26800,6.6,Part Time,Advanced,Single,2
100399,46,61700,4.5,Full Time,Bachelor,Divorced,0
100400,38,58300,2.9,Part Time,Bachelor,Married,3
100401,30,45100,11.2,Part Time,Advanced,Single,0
100402,42,63000,5.9,Contractor,High School,Married,2
100403,22,20000,5.0,Full Time,Advanced,Single,1
100404,29,62300,2.3,Full Time,Graduate,Married,0
100405,55,20000,5.3,Full Time,High School,Single,0
100406,41,55600,9.5,Full Time,Advanced,Single,0
100407,48,41300,3.4,Self Employed,Some College,Divorced,1
100408,33,53000,12.5,Full Time,Graduate,Single,5
100409,47,62100,2.2,Contractor,Graduate,Married,1
100410,30,62700,2.6,Full Time,Bachelor,Married,2
100411,37,57400,0.4,Full Time,Bachelor,Single,2
100412,34,62500,4.7,Contractor,Bachelor,Married,3
100413,46,40800,8.2,Full Time,Bachelor,Single,1
100414,42,36400,4.3,Self Employed,Bachelor,Married,2
100415,26,45600,2.7,Full Time,Bachelor,Single,1
100416,27,23000,7.4,Full Time,High School,Single,0
100417,32,21600,4.9,Part Time,Graduate,Divorced,0
100418,41,58900,7.2,Full Time,Some College,Married,2
100419,27,27100,,Self Employed,Some College,Single,0
100420,29,40500,11.6,Self Employed,Some College,Married,0
100421,29,23400,,Full Time,Advanced,Married,3
100422,30,67800,11.0,Full Time,Bachelor,Married,2
100423,52,24400,3.4,Full Time,High School,Divorced,0
100424,34,24200,,Full Time,High School,Single,0
100425,38,55100,,Full Time,Graduate,Married,3
100426,18,20000,0.9,Full Time,High School,Single,4
100427,60,22800,1.5,Full Time,High School,Married,2
100428,49,66700,3.1,Self Employed,Bachelor,Married,0
100429,48,28600,7.5,Full Time,Graduate,Married,0
100430,38,29600,1.8,Full Time,Some College,Single,0
100431,40,77100,10.4,Part Time,Bachelor,Married,1
100432,34,20000,14.1,Self Employed,Bachelor,Married,3
100433,57,63500,10.7,Full Time,Graduate,Married,1
100434,47,22400,10.8,Full Time,Some College,Married,5
100435,27,57300,1.1,Full Time,High School,Single,1
100436,26,20000,8.7,Full Time,High School,Married,2
100437,31,28100,5.3,Contractor,High School,Married,4
100438,37,36200,3.2,Full Time,Advanced,Divorced,1
100439,28,44100,10.5,Full Time,High School,Married,1
100440,52,66500,2.8,Full Time,Advanced,Married,1
100441,30,40000,8.7,Full Time,High School,Single,2
100442,35,55800,10.4,Full Time,Bachelor,Married,1
100443,32,53900,6.5,Part Time,Graduate,Married,2
100444,45,57700,6.9,Self Employed,Graduate,Married,1
100445,27,36500,6.9,Full Time,High School,Married,0
100446,20,20000,2.8,Full Time,Bachelor,Single,0
100447,39,139000,13.0,Part Time,Graduate,Single,0
100448,52,43600,0.7,Full Time,Some College,Married,0
100449,37,22500,2.7,Full Time,High School,Single,1
100450,45,44400,4.9,Self Employed,High School,Married,2
100451,26,20000,,Part Time,Some College,Married,2
100452,36,80500,6.1,Full Time,Graduate,Single,0
100453,32,44500,7.9,Full Time,Bachelor,Married,2
100454,42,54800,7.7,Part Time,Some College,Married,2
100455,25,26900,7.0,Full Time,Graduate,Married,1
100456,18,20000,0.0,Full Time,High School,Single,0
100457,35,55500,0.4,Full Time,Graduate,Married,2
100458,35,47300,9.0,Self Employed,Bachelor,Single,0
100459,61,22000,3.2,Full Time,Some College,Married,2
100460,72,20000,2.0,Full Time,Some College,Single,2
100461,35,23100,7.1,Full Time,High School,Divorced,0
100462,27,59400,7.6,Full Time,Some College,Single,2
100463,37,48700,4.0,Full Time,Graduate,Single,0
100464,32,22500,0.4,Full Time,High School,Married,1
100465,55,23700,6.3,Full Time,High School,Single,1
100466,41,89900,3.7,Full Time,Some College,Married,1
100467,33,34700,8.8,Full Time,High School,Married,3
100468,45,79600,5.6,Full Time,Graduate,Single,0
100469,40,79600,4.6,Full Time,Bachelor,Married,2
100470,34,58500,2.7,Self Employed,Graduate,Married,3
100471,37,24300,5.3,Full Time,High School,Single,1
100472,29,25400,7.1,Full Time,Some College,Married,0
100473,70,20000,5.6,Full Time,Some College,Married,0
100474,52,27200,3.1,Full Time,High School,Single,1
100475,32,31900,8.1,Part Time,High School,Married,3
100476,54,58400,1.8,Full Time,Some College,Single,2
100477,55,63700,7.9,Full Time,Bachelor,Divorced,3
100478,53,49700,2.2,Full Time,High School,Married,0
100479,33,35700,3.7,Full Time,High School,Married,0
100480,27,27300,7.5,Self Employed,Some College,Married,3
100481,53,29600,0.7,Full Time,Some College,Married,5
100482,29,20000,4.4,Contractor,High School,Married,1
100483,26,58800,6.3,Full Time,Advanced,Married,0
100484,26,39600,6.1,Full Time,Graduate,Married,2
100485,55,39000,7.9,Self Employed,High School,Married,2
100486,40,58000,6.0,Part Time,Graduate,Married,1
100487,26,33400,0.7,Part Time,Bachelor,Married,3
100488,42,25900,7.0,Full Time,High School,Divorced,0
100489,24,22100,3.2,Full Time,High School,Single,0
100490,49,86800,4.7,Full Time,Advanced,Married,2
100491,40,28800,5.3,Full Time,High School,Single,0
100492,38,32200,5.9,Full Time,Bachelor,Married,0
100493,30,27300,3.1,Full Time,High School,Married,0
100494,39,76300,1.3,Full Time,Bachelor,Married,2
100495,28,20000,3.8,Full Time,Some College,Married,2
100496,40,37900,9.1,Full Time,High School,Single,2
100497,34,25100,2.7,Self Employed,Some College,Divorced,1
100498,43,39500,8.9,Part Time,Graduate,Divorced,0
100499,43,38700,11.4,Full Time,Graduate,Married,2
100500,26,99100,7.7,Self Employed,Graduate,Single,0
100501,20,41500,2.3,Full Time,High School,Single,0
100502,19,52500,1.3,Self Employed,Graduate,Single,1
100503,56,66200,,Contractor,Bachelor,Married,3
100504,39,42100,5.3,Full Time,High School,Married,1
100505,60,20000,0.6,Self Employed,Some College,Married,1
100506,45,49400,6.6,Part Time,High School,Married,3
100507,51,83600,7.7,Part Time,Bachelor,Married,1
100508,45,42500,9.9,Full Time,Bachelor,Married,1
100509,50,43400,7.7,Full Time,High School,Married,1
100510,38,133500,2.7,Contractor,Advanced,Married,2
100511,48,47400,10.3,Full Time,Bachelor,Married,1
100512,41,45800,2.4,Full Time,Bachelor,Divorced,0
100513,33,35300,5.0,Full Time,Bachelor,Divorced,0
100514,39,58100,7.3,Full Time,Bachelor,Married,2
100515,34,20200,6.7,Full Time,Bachelor,Single,1
100516,36,45300,12.5,Full Time,Bachelor,Married,2
100517,27,20000,5.1,Part Time,High School,Divorced,1
