customer_id,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign
100067,Personal Loan,14200,36,11.2,Medical,0.0,Branch,1003,J
100068,Mortgage,284100,360,4.24,Home Purchase,0.677,Online,1055,H
100069,Personal Loan,12500,36,9.81,Home Improvement,0.0,Broker,1046,Q
100070,Credit Card,15500,0,18.36,Revolving Credit,0.0,Direct Mail,1083,T
100071,Mortgage,420100,360,7.0,Home Purchase,0.827,Online,1044,B
100072,Mortgage,346600,360,6.96,Refinance,0.627,Broker,1001,J
100073,Personal Loan,13600,60,9.93,Major Purchase,0.0,Online,1050,A
100074,Personal Loan,13800,12,11.53,Home Improvement,0.0,Online,1003,Q
100075,Credit Card,8700,0,17.46,Revolving Credit,0.0,Direct Mail,1014,D
100076,Credit Card,10100,0,17.03,Revolving Credit,0.0,Branch,1093,M
100077,Mortgage,125400,360,7.9,Refinance,0.778,Branch,1000,H
100078,Mortgage,487100,360,3.2,Home Purchase,0.941,Online,1041,Q
100079,Credit Card,5300,0,16.72,Revolving Credit,0.0,Online,1002,N
100080,Mortgage,332000,180,7.59,Refinance,0.812,Branch,1086,B
100081,Mortgage,336700,360,7.72,Refinance,0.753,Branch,997,C
100082,Mortgage,320500,360,4.38,Refinance,0.567,Online,1059,M
100083,Personal Loan,12600,36,12.17,Debt Consolidation,0.0,Broker,1048,N
100084,Personal Loan,22500,48,10.96,Home Improvement,0.0,Online,1050,U
100085,Credit Card,4200,0,17.02,Revolving Credit,0.0,Broker,1003,N
100086,Mortgage,456300,360,6.64,Home Purchase,0.772,Branch,998,W
100087,Personal Loan,18400,24,13.82,Debt Consolidation,0.0,Online,1056,H
100088,Credit Card,9300,0,18.19,Revolving Credit,0.0,Branch,1002,N
100089,Credit Card,9700,0,19.05,Revolving Credit,0.0,Online,1005,A
100090,Personal Loan,23400,48,13.74,Debt Consolidation,0.0,Branch,1005,Q
100091,Personal Loan,2700,48,10.28,Major Purchase,0.0,Broker,1056,C
100092,Home Loan,324100,360,3.8,Home Purchase,0.513,Online,1011,Z
100093,Personal Loan,3600,48,10.16,Major Purchase,0.0,Online,1000,N
100094,Mortgage,131100,180,7.15,Home Purchase,0.769,Branch,1013,L
100095,Mortgage,108600,360,5.8,Home Purchase,0.74,Online,1081,W
100096,Mortgage,464800,360,5.18,Home Purchase,0.645,Branch,1079,O
100097,Home Loan,394800,360,7.75,Refinance,0.692,Direct Mail,1083,H
100098,Credit Card,7900,0,16.31,Revolving Credit,0.0,Branch,1043,P
100099,Personal Loan,1300,60,12.36,Home Improvement,0.0,Online,1068,U
100100,Personal Loan,27100,24,14.18,Debt Consolidation,0.0,Branch,1045,L
100101,Credit Card,9800,0,18.97,Revolving Credit,0.0,Online,1082,P
100102,Credit Card,8400,0,18.81,Revolving Credit,0.0,Online,1077,Y
100103,Personal Loan,27300,36,11.28,Home Improvement,0.0,Online,1069,A
100104,Credit Card,13400,0,16.18,Revolving Credit,0.0,Online,996,Y
100105,Mortgage,108400,360,8.78,Refinance,0.842,Online,1064,T
100106,Credit Card,4500,0,16.37,Revolving Credit,0.0,Branch,1053,Q
100107,Mortgage,468200,360,4.93,Refinance,0.969,Direct Mail,1042,O
100108,Mortgage,501700,360,5.13,Refinance,0.76,Online,1003,P
100109,Personal Loan,22600,48,12.46,Debt Consolidation,0.0,Online,1001,Y
100110,Personal Loan,8600,60,10.25,Debt Consolidation,0.0,Online,1044,P
100111,Personal Loan,30800,36,13.24,Medical,0.0,Branch,1005,C
100112,Mortgage,485400,360,6.21,Home Purchase,0.934,Branch,1052,X
100113,Home Loan,380300,180,4.86,Refinance,0.74,Online,997,R
100114,Mortgage,358900,360,9.48,Refinance,0.778,Branch,1038,S
100115,Credit Card,6900,0,17.73,Revolving Credit,0.0,Branch,1049,L
100116,Personal Loan,7400,48,10.98,Debt Consolidation,0.0,Branch,1043,R
100117,Credit Card,3800,0,20.87,Revolving Credit,0.0,Broker,1017,R
100118,Personal Loan,4800,48,13.42,Medical,0.0,Broker,1002,S
100119,Personal Loan,16300,36,13.78,Other,0.0,Branch,1003,G
100120,Home Loan,196500,360,3.84,Refinance,0.845,Online,1082,M
100121,Mortgage,218500,180,6.47,Home Purchase,0.948,Online,1097,P
100122,Personal Loan,7300,36,11.78,Debt Consolidation,0.0,Online,1050,Y
100123,Credit Card,8400,0,19.42,Revolving Credit,0.0,Direct Mail,1011,D
100124,Credit Card,9800,0,16.21,Revolving Credit,0.0,Direct Mail,1000,N
100125,Mortgage,316600,360,4.72,Refinance,0.727,Branch,1081,Y
100126,Mortgage,444400,360,8.59,Refinance,0.721,Online,997,K
100127,Credit Card,8800,0,14.65,Revolving Credit,0.0,Online,1095,T
100128,Credit Card,15600,0,13.86,Revolving Credit,0.0,Online,1040,D
100129,Mortgage,297200,180,4.05,Home Purchase,0.83,Branch,1067,V
100130,Credit Card,11100,0,15.19,Revolving Credit,0.0,Branch,1001,U
100131,Mortgage,187200,180,6.19,Home Purchase,0.804,Branch,1041,D
100132,Personal Loan,3800,24,11.13,Medical,0.0,Branch,1081,H
100133,Personal Loan,9500,36,10.62,Home Improvement,0.0,Branch,995,Z
100134,Home Loan,171300,360,6.36,Home Purchase,0.806,Branch,1049,T
100135,Mortgage,282400,360,7.21,Home Purchase,0.722,Branch,1081,U
100136,Personal Loan,22900,48,12.43,Home Improvement,0.0,Branch,1048,N
100137,Personal Loan,17900,36,11.34,Medical,0.0,Online,1079,C
100138,Credit Card,3600,0,17.91,Revolving Credit,0.0,Broker,997,H
100139,Credit Card,8400,0,18.34,Revolving Credit,0.0,Broker,1071,R
100140,Mortgage,90600,360,5.2,Refinance,0.816,Branch,1072,M
100141,Mortgage,208500,360,7.42,Home Purchase,0.781,Broker,1081,W
100142,Personal Loan,37500,36,12.2,Major Purchase,0.0,Online,1077,U
100143,Credit Card,3700,0,18.93,Revolving Credit,0.0,Online,1058,T
100144,Mortgage,190600,360,4.52,Home Purchase,0.704,Branch,1059,A
100145,Home Loan,82700,180,8.27,Home Purchase,0.832,Online,1056,U
100146,Personal Loan,11300,60,13.44,Debt Consolidation,0.0,Branch,1068,L
100147,Credit Card,9800,0,17.9,Revolving Credit,0.0,Broker,1048,O
100148,Credit Card,10400,0,19.4,Revolving Credit,0.0,Broker,1095,X
100149,Home Loan,327200,360,7.28,Refinance,0.777,Online,1014,J
100150,Credit Card,7000,0,17.83,Revolving Credit,0.0,Online,998,S
100151,Personal Loan,29300,24,13.24,Major Purchase,0.0,Online,1003,N
100152,Personal Loan,11200,36,12.38,Medical,0.0,Direct Mail,1083,S
100153,Credit Card,4800,0,14.69,Revolving Credit,0.0,Broker,997,K
100154,Personal Loan,24500,60,13.3,Debt Consolidation,0.0,Online,1079,T
100155,Home Loan,176000,360,6.07,Home Purchase,0.661,Branch,1069,Q
100156,Personal Loan,9900,24,7.81,Major Purchase,0.0,Online,1046,S
100157,Mortgage,233700,360,6.34,Home Purchase,0.846,Online,1001,B
100158,Personal Loan,14000,48,9.1,Debt Consolidation,0.0,Direct Mail,1079,Z
100159,Credit Card,3700,0,16.99,Revolving Credit,0.0,Branch,1044,K
100160,Mortgage,250300,360,8.24,Home Purchase,0.904,Online,1014,A
100161,Personal Loan,7600,48,12.11,Other,0.0,Broker,1015,P
100162,Personal Loan,3000,48,8.72,Debt Consolidation,0.0,Broker,1042,I
100163,Mortgage,236400,360,5.92,Home Purchase,0.794,Branch,1088,O
100164,Personal Loan,18200,48,13.35,Home Improvement,0.0,Online,1095,N
100165,Personal Loan,6800,36,12.34,Debt Consolidation,0.0,Online,1004,L
100166,Mortgage,465500,360,5.3,Home Purchase,0.641,Direct Mail,1096,M
100167,Mortgage,207900,360,8.17,Refinance,0.834,Online,1068,V
100168,Mortgage,392600,180,4.48,Refinance,0.66,Broker,1076,V
100169,Personal Loan,16900,48,10.84,Major Purchase,0.0,Broker,1054,C
100170,Home Loan,218000,180,5.08,Home Purchase,0.713,Online,1050,O
100171,Personal Loan,32300,48,13.64,Medical,0.0,Branch,1052,F
100172,Mortgage,434700,360,6.26,Refinance,0.779,Online,1048,A
100173,Credit Card,11000,0,18.51,Revolving Credit,0.0,Branch,1054,P
100174,Home Loan,281900,360,4.66,Refinance,0.838,Broker,1084,G
100175,Mortgage,539900,360,5.63,Home Purchase,0.707,Broker,1095,A
100176,Credit Card,12100,0,18.38,Revolving Credit,0.0,Direct Mail,1056,O
100177,Credit Card,9500,0,17.87,Revolving Credit,0.0,Online,1008,N
100178,Mortgage,239800,360,5.35,Refinance,0.856,Online,1045,Y
100179,Personal Loan,24100,60,13.4,Debt Consolidation,0.0,Branch,1016,U
100180,Credit Card,15300,0,17.75,Revolving Credit,0.0,Online,1082,U
100181,Mortgage,479700,360,4.99,Refinance,0.841,Online,1002,X
100182,Home Loan,99300,360,7.67,Refinance,0.708,Broker,1079,D
100183,Credit Card,7000,0,19.34,Revolving Credit,0.0,Branch,1055,Q
100184,Mortgage,279300,360,5.74,Refinance,0.819,Online,1081,E
100185,Credit Card,17200,0,16.71,Revolving Credit,0.0,Branch,1004,D
100186,Mortgage,164800,360,5.39,Refinance,0.912,Online,1070,U
100187,Personal Loan,3600,60,12.33,Debt Consolidation,0.0,Branch,1047,E
100188,Credit Card,11400,0,19.16,Revolving Credit,0.0,Branch,1097,P
100189,Credit Card,2200,0,15.99,Revolving Credit,0.0,Online,1082,T
100190,Personal Loan,13400,60,10.96,Medical,0.0,Online,1003,F
100191,Mortgage,113500,360,5.82,Home Purchase,0.934,Online,1011,N
100192,Personal Loan,15700,24,13.04,Home Improvement,0.0,Online,1071,Q
100193,Credit Card,17800,0,16.17,Revolving Credit,0.0,Online,1000,D
100194,Credit Card,9600,0,16.04,Revolving Credit,0.0,Broker,1097,C
100195,Credit Card,3500,0,16.62,Revolving Credit,0.0,Online,1050,O
100196,Personal Loan,30300,48,13.81,Major Purchase,0.0,Online,1050,Y
100197,Mortgage,242700,180,7.19,Home Purchase,0.881,Online,1073,R
100198,Credit Card,7500,0,19.01,Revolving Credit,0.0,Online,1004,F
100199,Credit Card,7200,0,16.4,Revolving Credit,0.0,Online,1082,Z
100200,Mortgage,258700,180,6.77,Home Purchase,0.726,Online,1045,F
100201,Personal Loan,22100,36,12.22,Home Improvement,0.0,Broker,1001,K
100202,Credit Card,3600,0,16.34,Revolving Credit,0.0,Branch,996,L
100203,Credit Card,10700,0,18.57,Revolving Credit,0.0,Online,1083,N
100204,Personal Loan,17200,24,10.72,Major Purchase,0.0,Broker,1003,V
100205,Mortgage,395500,180,5.76,Home Purchase,0.673,Online,1005,Q
100206,Mortgage,605800,360,6.69,Home Purchase,0.662,Online,1060,G
100207,Mortgage,377400,360,5.51,Home Purchase,0.817,Broker,1098,C
100208,Mortgage,358500,360,5.65,Home Purchase,0.821,Broker,1085,P
100209,Personal Loan,13900,48,12.16,Debt Consolidation,0.0,Broker,1051,Q
100210,Mortgage,226500,360,5.97,Refinance,0.691,Branch,1014,C
100211,Personal Loan,5700,60,8.95,Debt Consolidation,0.0,Direct Mail,997,Q
100212,Mortgage,203300,360,5.23,Home Purchase,0.929,Branch,1044,G
100213,Credit Card,9700,0,13.75,Revolving Credit,0.0,Broker,1092,H
100214,Mortgage,439300,360,6.21,Home Purchase,0.555,Branch,1002,W
100215,Personal Loan,5600,48,10.06,Debt Consolidation,0.0,Online,1002,F
100216,Credit Card,11400,0,18.25,Revolving Credit,0.0,Branch,1078,S
100217,Mortgage,300100,360,7.19,Refinance,0.773,Online,1092,A
100218,Mortgage,167600,360,3.33,Home Purchase,0.815,Online,1075,U
100219,Personal Loan,19500,36,9.8,Medical,0.0,Broker,1039,I
100220,Mortgage,395200,360,7.34,Home Purchase,0.76,Branch,1044,C
100221,Personal Loan,8300,36,10.08,Medical,0.0,Branch,1036,M
100222,Mortgage,167900,360,6.15,Home Purchase,0.868,Branch,999,L
100223,Home Loan,84000,360,7.27,Refinance,0.716,Online,1039,S
100224,Credit Card,3300,0,20.27,Revolving Credit,0.0,Broker,1095,B
100225,Personal Loan,7400,36,11.09,Other,0.0,Online,1051,Z
100226,Mortgage,140400,360,6.9,Home Purchase,0.727,Online,1087,X
100227,Personal Loan,19200,60,11.11,Home Improvement,0.0,Online,998,A
100228,Mortgage,457400,360,8.6,Refinance,0.749,Branch,1043,J
100229,Mortgage,186200,360,7.19,Refinance,0.908,Online,1087,U
100230,Mortgage,130300,360,8.0,Home Purchase,0.897,Branch,1049,B
100231,Personal Loan,10900,60,13.59,Home Improvement,0.0,Branch,1085,H
100232,Credit Card,9100,0,16.99,Revolving Credit,0.0,Branch,1082,F
100233,Mortgage,254600,180,5.72,Home Purchase,0.74,Branch,996,K
100234,Credit Card,5100,0,19.59,Revolving Credit,0.0,Broker,1042,R
100235,Personal Loan,12600,48,12.03,Home Improvement,0.0,Branch,997,F
100236,Mortgage,488100,360,6.83,Home Purchase,0.832,Branch,1062,Q
100237,Mortgage,262500,360,7.51,Refinance,0.709,Direct Mail,1098,J
100238,Credit Card,3200,0,16.86,Revolving Credit,0.0,Direct Mail,1079,Z
100239,Personal Loan,22300,48,10.38,Major Purchase,0.0,Online,1068,T
100240,Personal Loan,12000,36,10.66,Home Improvement,0.0,Online,1041,L
100241,Home Loan,351400,360,5.73,Home Purchase,0.902,Online,1004,L
100242,Credit Card,13200,0,18.55,Revolving Credit,0.0,Broker,997,D
100243,Credit Card,12900,0,17.77,Revolving Credit,0.0,Broker,1079,R
100244,Personal Loan,20200,24,13.81,Major Purchase,0.0,Branch,1092,X
100245,Home Loan,233400,360,6.77,Refinance,0.691,Online,1048,S
100246,Home Loan,555900,360,7.25,Home Purchase,0.885,Online,1040,B
100247,Mortgage,160000,360,5.0,Home Purchase,0.72,Online,1049,N
100248,Personal Loan,6000,36,11.49,Debt Consolidation,0.0,Broker,1040,I
100249,Personal Loan,21300,36,10.06,Medical,0.0,Online,1094,T
100250,Personal Loan,6300,60,11.99,Other,0.0,Online,1046,N
100251,Mortgage,406300,360,5.4,Refinance,0.754,Broker,1062,G
100252,Credit Card,9600,0,15.28,Revolving Credit,0.0,Branch,1051,I
100253,Personal Loan,4900,48,10.86,Debt Consolidation,0.0,Online,999,F
100254,Home Loan,162400,180,6.24,Refinance,0.79,Branch,1071,J
100255,Mortgage,251400,180,3.68,Refinance,0.964,Online,1089,I
100256,Home Loan,78900,360,5.76,Refinance,0.795,Branch,1000,G
100257,Mortgage,223500,360,6.51,Refinance,0.545,Branch,1014,L
100258,Mortgage,267300,360,6.15,Refinance,0.804,Online,1077,C
100259,Credit Card,7500,0,17.77,Revolving Credit,0.0,Online,1042,D
100260,Mortgage,200700,360,8.83,Home Purchase,0.706,Online,1043,R
100261,Personal Loan,17600,36,10.68,Debt Consolidation,0.0,Online,1047,L
100262,Home Loan,484500,360,5.95,Home Purchase,0.893,Online,1003,N
100263,Personal Loan,4600,60,11.57,Medical,0.0,Branch,1014,E
100264,Credit Card,5800,0,17.67,Revolving Credit,0.0,Online,1016,O
100265,Personal Loan,13100,36,13.96,Debt Consolidation,0.0,Branch,1074,Q
100266,Credit Card,6400,0,17.66,Revolving Credit,0.0,Broker,1000,T
100267,Personal Loan,16700,60,10.84,Debt Consolidation,0.0,Online,998,I
100268,Personal Loan,27000,36,11.5,Major Purchase,0.0,Branch,1004,W
100269,Credit Card,12200,0,18.83,Revolving Credit,0.0,Online,1093,A
100270,Personal Loan,17300,48,14.03,Other,0.0,Online,1045,P
100271,Mortgage,480700,360,7.18,Home Purchase,0.684,Online,1083,T
100272,Personal Loan,9800,48,11.34,Other,0.0,Branch,996,E
100273,Credit Card,9900,0,17.23,Revolving Credit,0.0,Broker,1086,N
100274,Personal Loan,7900,36,11.32,Debt Consolidation,0.0,Branch,1042,T
100275,Mortgage,272200,360,6.36,Home Purchase,0.596,Branch,1078,L
100276,Credit Card,5600,0,17.15,Revolving Credit,0.0,Online,1086,D
100277,Mortgage,345300,360,5.34,Refinance,0.882,Online,1047,H
100278,Personal Loan,16700,24,11.92,Major Purchase,0.0,Branch,1000,T
100279,Personal Loan,26900,36,9.44,Medical,0.0,Broker,1000,M
100280,Mortgage,240400,360,5.22,Home Purchase,0.799,Branch,1041,W
100281,Personal Loan,21700,24,12.37,Debt Consolidation,0.0,Branch,1068,V
100282,Credit Card,12300,0,17.39,Revolving Credit,0.0,Online,1082,C
100283,Credit Card,13600,0,17.06,Revolving Credit,0.0,Online,1091,Y
100284,Personal Loan,21000,60,13.65,Medical,0.0,Online,1045,G
100285,Credit Card,4200,0,17.29,Revolving Credit,0.0,Branch,1086,R
100286,Mortgage,77800,360,8.44,Home Purchase,0.878,Online,1052,A
100287,Personal Loan,3400,48,12.78,Major Purchase,0.0,Online,1018,H
100288,Personal Loan,13900,48,11.34,Medical,0.0,Online,1067,Q
100289,Personal Loan,7900,60,12.55,Debt Consolidation,0.0,Online,1050,P
100290,Mortgage,522100,360,6.07,Home Purchase,0.718,Online,1039,T
100291,Home Loan,385900,360,5.41,Home Purchase,0.954,Online,1013,C
100292,Personal Loan,12700,48,11.81,Home Improvement,0.0,Online,1086,T
100293,Personal Loan,7800,36,11.83,Debt Consolidation,0.0,Branch,1079,Q
100294,Personal Loan,20700,36,11.48,Major Purchase,0.0,Online,1041,K
100295,Personal Loan,18500,48,12.27,Major Purchase,0.0,Online,1063,B
100296,Personal Loan,15000,24,13.81,Home Improvement,0.0,Online,1072,S
100297,Mortgage,95600,360,7.27,Refinance,0.85,Branch,1002,A
100298,Mortgage,74200,360,2.75,Refinance,0.715,Branch,1093,J
100299,Credit Card,14100,0,17.13,Revolving Credit,0.0,Branch,1079,W
100300,Credit Card,5500,0,15.53,Revolving Credit,0.0,Branch,1043,L
100301,Mortgage,247100,360,7.21,Refinance,0.822,Direct Mail,1041,M
100302,Mortgage,511400,360,6.87,Refinance,0.772,Online,1006,A
100303,Credit Card,8100,0,17.59,Revolving Credit,0.0,Broker,1080,R
100304,Personal Loan,8900,60,9.71,Medical,0.0,Online,1039,Z
100305,Personal Loan,6300,48,14.81,Home Improvement,0.0,Broker,1084,T
100306,Personal Loan,4200,48,9.78,Major Purchase,0.0,Branch,1006,Z
100307,Home Loan,361000,360,6.17,Home Purchase,0.913,Online,1068,V
100308,Personal Loan,4500,48,11.07,Home Improvement,0.0,Broker,1079,Q
100309,Personal Loan,7600,24,10.83,Home Improvement,0.0,Online,1048,P
100310,Personal Loan,16700,48,11.16,Debt Consolidation,0.0,Direct Mail,1095,A
100311,Personal Loan,36000,36,12.21,Major Purchase,0.0,Online,1052,S
100312,Mortgage,264100,360,7.3,Home Purchase,0.67,Online,1003,X
100313,Home Loan,153300,360,6.0,Home Purchase,0.749,Online,1046,I
100314,Credit Card,2600,0,19.02,Revolving Credit,0.0,Online,1041,S
100315,Personal Loan,2000,48,10.33,Home Improvement,0.0,Online,1004,A
100316,Credit Card,1400,0,17.87,Revolving Credit,0.0,Branch,1046,Y
100317,Credit Card,4700,0,19.17,Revolving Credit,0.0,Broker,1000,H
100318,Mortgage,274400,360,10.09,Home Purchase,0.893,Branch,1008,Q
100319,Credit Card,7200,0,17.14,Revolving Credit,0.0,Branch,1080,A
100320,Personal Loan,18300,60,11.71,Major Purchase,0.0,Branch,1085,Z
100321,Credit Card,12200,0,16.08,Revolving Credit,0.0,Online,1001,Y
100322,Personal Loan,27800,24,13.93,Major Purchase,0.0,Online,1046,K
100323,Personal Loan,2000,24,11.7,Debt Consolidation,0.0,Online,1076,U
100324,Credit Card,9400,0,18.43,Revolving Credit,0.0,Online,1048,O
100325,Mortgage,441700,360,5.91,Refinance,0.782,Branch,1044,Q
100326,Home Loan,341000,360,7.63,Home Purchase,0.659,Online,1091,T
100327,Credit Card,2900,0,16.4,Revolving Credit,0.0,Broker,1042,O
100328,Home Loan,114000,360,7.53,Home Purchase,0.947,Broker,1043,L
100329,Personal Loan,4300,48,11.7,Debt Consolidation,0.0,Broker,1066,P
100330,Mortgage,379100,360,5.87,Home Purchase,0.766,Branch,1040,Q
100331,Personal Loan,10600,12,11.51,Debt Consolidation,0.0,Broker,1005,W
100332,Personal Loan,37400,48,10.51,Debt Consolidation,0.0,Broker,1017,I
100333,Personal Loan,20500,36,14.59,Debt Consolidation,0.0,Online,996,O
100334,Personal Loan,10300,60,10.44,Home Improvement,0.0,Branch,1090,U
100335,Personal Loan,22700,48,14.28,Major Purchase,0.0,Direct Mail,1010,N
100336,Mortgage,280500,360,5.07,Home Purchase,0.729,Online,1042,N
100337,Credit Card,11900,0,19.37,Revolving Credit,0.0,Online,1091,L
100338,Personal Loan,13200,60,8.32,Medical,0.0,Broker,1064,R
100339,Mortgage,666700,360,5.97,Refinance,0.732,Broker,1079,W
100340,Personal Loan,16300,36,13.36,Debt Consolidation,0.0,Direct Mail,998,O
100341,Personal Loan,15100,36,8.92,Other,0.0,Online,1070,P
100342,Home Loan,144700,360,4.46,Home Purchase,0.66,Direct Mail,1055,N
100343,Personal Loan,4300,48,12.65,Home Improvement,0.0,Online,1053,I
100344,Home Loan,253000,360,6.59,Refinance,0.838,Branch,1047,W
100345,Mortgage,272200,360,8.21,Refinance,0.93,Branch,1051,A
100346,Personal Loan,20500,36,10.35,Home Improvement,0.0,Broker,1051,Q
100347,Home Loan,173500,180,6.15,Refinance,0.614,Online,1042,W
100348,Home Loan,418300,360,8.81,Home Purchase,0.85,Online,1050,V
100349,Personal Loan,32300,60,11.06,Medical,0.0,Online,1064,T
100350,Mortgage,175600,360,5.55,Home Purchase,0.905,Online,1077,Z
100351,Credit Card,5500,0,17.65,Revolving Credit,0.0,Branch,1014,I
100352,Personal Loan,8000,12,10.86,Major Purchase,0.0,Online,1078,A
100353,Mortgage,267500,360,5.54,Home Purchase,0.701,Branch,1009,F
100354,Personal Loan,19600,36,13.03,Home Improvement,0.0,Online,1049,J
100355,Mortgage,368200,180,7.32,Home Purchase,0.784,Branch,1044,J
100356,Mortgage,308200,360,6.55,Home Purchase,0.716,Online,1078,J
100357,Mortgage,178200,360,6.17,Home Purchase,0.814,Online,1011,M
100358,Credit Card,8100,0,17.62,Revolving Credit,0.0,Online,1047,F
100359,Credit Card,16400,0,18.73,Revolving Credit,0.0,Online,1075,S
100360,Mortgage,652000,360,4.48,Refinance,0.728,Online,995,L
100361,Personal Loan,23500,36,11.33,Debt Consolidation,0.0,Broker,1058,K
100362,Personal Loan,29800,48,13.99,Medical,0.0,Branch,1069,R
100363,Mortgage,310700,180,7.01,Refinance,0.796,Branch,1041,R
